FECHA_MUESTRA,TIPO,UBICACION,GENERO,GRUPO_ETARIO,N
19DEC2020:00:00:00,positivos,Ezeiza,M,20-29,2
19DEC2020:00:00:00,positivos,Ezeiza,M,30-39,3
19DEC2020:00:00:00,positivos,Ezeiza,M,40-49,2
20DEC2020:00:00:00,testeos,Callao | USAM,F,0-19,17
20DEC2020:00:00:00,testeos,Callao | USAM,F,20-29,28
20DEC2020:00:00:00,testeos,Callao | USAM,F,30-39,53
20DEC2020:00:00:00,testeos,Callao | USAM,F,40-49,45
20DEC2020:00:00:00,testeos,Callao | USAM,F,50-59,44
20DEC2020:00:00:00,testeos,Callao | USAM,F,60-69,27
20DEC2020:00:00:00,testeos,Callao | USAM,F,70-79,10
20DEC2020:00:00:00,testeos,Callao | USAM,F,80 y más,3
20DEC2020:00:00:00,testeos,Callao | USAM,M,0-19,11
20DEC2020:00:00:00,testeos,Callao | USAM,M,20-29,18
20DEC2020:00:00:00,testeos,Callao | USAM,M,30-39,35
20DEC2020:00:00:00,testeos,Callao | USAM,M,40-49,41
20DEC2020:00:00:00,testeos,Callao | USAM,M,50-59,44
20DEC2020:00:00:00,testeos,Callao | USAM,M,60-69,33
20DEC2020:00:00:00,testeos,Callao | USAM,M,70-79,12
20DEC2020:00:00:00,testeos,Callao | USAM,M,80 y más,4
20DEC2020:00:00:00,testeos,CEC,F,0-19,34
20DEC2020:00:00:00,testeos,CEC,F,20-29,40
20DEC2020:00:00:00,testeos,CEC,F,30-39,125
20DEC2020:00:00:00,testeos,CEC,F,40-49,104
20DEC2020:00:00:00,testeos,CEC,F,50-59,90
20DEC2020:00:00:00,testeos,CEC,F,60-69,80
20DEC2020:00:00:00,testeos,CEC,F,70-79,30
20DEC2020:00:00:00,testeos,CEC,F,80 y más,6
20DEC2020:00:00:00,testeos,CEC,M,0-19,31
20DEC2020:00:00:00,testeos,CEC,M,20-29,27
20DEC2020:00:00:00,testeos,CEC,M,30-39,100
20DEC2020:00:00:00,testeos,CEC,M,40-49,114
20DEC2020:00:00:00,testeos,CEC,M,50-59,78
20DEC2020:00:00:00,testeos,CEC,M,60-69,67
20DEC2020:00:00:00,testeos,CEC,M,70-79,42
20DEC2020:00:00:00,testeos,CEC,M,80 y más,5
