,FECHA_MUESTRA,TIPO,DISPOSITIVO,GENERO,GRUPO_ETARIO,N
321,12DEC2020:00:00:00,testeos,Callao | USAM,M,30-39,46
322,12DEC2020:00:00:00,testeos,Callao | USAM,M,40-49,31
323,12DEC2020:00:00:00,testeos,Callao | USAM,M,50-59,25
324,12DEC2020:00:00:00,testeos,Callao | USAM,M,60-69,27
325,12DEC2020:00:00:00,testeos,Callao | USAM,M,70-79,10
326,12DEC2020:00:00:00,testeos,Callao | USAM,M,80 y más,1
327,12DEC2020:00:00:00,testeos,CEC,F,0-19,22
328,12DEC2020:00:00:00,testeos,CEC,F,20-29,70
329,12DEC2020:00:00:00,testeos,CEC,F,30-39,108
330,12DEC2020:00:00:00,testeos,CEC,F,40-49,86
331,12DEC2020:00:00:00,testeos,CEC,F,50-59,64
332,12DEC2020:00:00:00,testeos,CEC,F,60-69,62
333,12DEC2020:00:00:00,testeos,CEC,F,70-79,18
334,12DEC2020:00:00:00,testeos,CEC,F,80 y más,3
335,12DEC2020:00:00:00,testeos,CEC,M,0-19,15
336,12DEC2020:00:00:00,testeos,CEC,M,20-29,62
337,12DEC2020:00:00:00,testeos,CEC,M,30-39,92
338,12DEC2020:00:00:00,testeos,CEC,M,40-49,87
339,12DEC2020:00:00:00,testeos,CEC,M,50-59,76
340,12DEC2020:00:00:00,testeos,CEC,M,60-69,53
341,19DEC2020:00:00:00,testeos,Ezeiza,F,60-69,44
342,19DEC2020:00:00:00,testeos,Ezeiza,F,70-79,15
343,19DEC2020:00:00:00,testeos,Ezeiza,F,80 y más,2
344,19DEC2020:00:00:00,testeos,Ezeiza,M,0-19,43
345,19DEC2020:00:00:00,testeos,Ezeiza,M,20-29,68
346,19DEC2020:00:00:00,testeos,Ezeiza,M,30-39,152
347,19DEC2020:00:00:00,testeos,Ezeiza,M,40-49,105
348,19DEC2020:00:00:00,testeos,Ezeiza,M,50-59,75
349,19DEC2020:00:00:00,testeos,Ezeiza,M,60-69,42
350,19DEC2020:00:00:00,testeos,Ezeiza,M,70-79,11
351,19DEC2020:00:00:00,testeos,Ezeiza,M,80 y más,4
352,19DEC2020:00:00:00,testeos,Terminal Dellepiane,F,0-19,20
353,19DEC2020:00:00:00,testeos,Terminal Dellepiane,F,20-29,39
354,19DEC2020:00:00:00,testeos,Terminal Dellepiane,F,30-39,44
355,19DEC2020:00:00:00,testeos,Terminal Dellepiane,F,40-49,23
356,19DEC2020:00:00:00,testeos,Terminal Dellepiane,F,50-59,37
357,19DEC2020:00:00:00,testeos,Terminal Dellepiane,F,60-69,26
358,19DEC2020:00:00:00,testeos,Terminal Dellepiane,F,70-79,9
359,19DEC2020:00:00:00,testeos,Terminal Dellepiane,F,80 y más,1
360,19DEC2020:00:00:00,testeos,Terminal Dellepiane,M,0-19,14
361,19DEC2020:00:00:00,testeos,Terminal Dellepiane,M,20-29,31
362,19DEC2020:00:00:00,testeos,Terminal Dellepiane,M,30-39,44
363,19DEC2020:00:00:00,testeos,Terminal Dellepiane,M,40-49,26
364,19DEC2020:00:00:00,testeos,Terminal Dellepiane,M,50-59,27
365,19DEC2020:00:00:00,testeos,Terminal Dellepiane,M,60-69,15
366,19DEC2020:00:00:00,testeos,Terminal Dellepiane,M,70-79,7
367,19DEC2020:00:00:00,testeos,Terminal Dellepiane,M,80 y más,1
368,19DEC2020:00:00:00,positivos,Callao | USAM,F,70-79,1
